WelzlTime - NaifTime
228 - 96570
444 - 92754
258 - 98009
487 - 471
161 - 82866
301 - 107819
320 - 97665
208 - 107156
126 - 102400
377 - 96630
169 - 93610
605 - 79751
280 - 80931
316 - 97424
322 - 88214
189 - 91807
177 - 96875
555 - 106520
141 - 86814
632 - 100677
642 - 84622
298 - 318
416 - 93890
226 - 84734
593 - 93374
348 - 100678
463 - 79795
449 - 127897
449 - 87620
392 - 97242
410 - 113407
684 - 86146
246 - 95292
255 - 92014
209 - 85787
322 - 103255
205 - 99055
465 - 100893
309 - 94430
279 - 96647
418 - 83380
372 - 80910
278 - 92023
514 - 96546
572 - 90242
551 - 121146
218 - 104370
382 - 86075
312 - 82517
241 - 105266
264 - 85511
330 - 95363
389 - 92542
365 - 88330
291 - 95745
315 - 82816
265 - 82251
278 - 89728
249 - 87966
348 - 84773
224 - 78632
404 - 80694
431 - 97410
406 - 92147
526 - 106081
628 - 84021
356 - 103249
364 - 84685
359 - 101085
908 - 146682
159 - 93950
290 - 91106
529 - 89834
317 - 80872
186 - 103119
276 - 91461
231 - 92651
361 - 97362
1258 - 81758
152 - 104832
530 - 84084
318 - 86037
553 - 92689
558 - 95599
141 - 93133
328 - 104290
290 - 79719
293 - 88588
449 - 105878
253 - 102604
334 - 90892
210 - 114401
298 - 90482
418 - 91325
489 - 85619
567 - 101548
92 - 102000
275 - 83810
521 - 83277
620 - 94717
185 - 94798
494 - 100647
217 - 95065
144 - 103803
316 - 102706
288 - 104960
492 - 104946
578 - 98107
473 - 109474
105 - 78659
400 - 89892
298 - 106915
313 - 88918
318 - 90344
603 - 90216
186 - 109036
352 - 92338
344 - 93714
378 - 95345
371 - 97826
182 - 102246
398 - 122801
348 - 82294
269 - 112103
451 - 89582
165 - 93805
310 - 82847
429 - 88947
358 - 101670
291 - 79809
225 - 101979
458 - 98583
310 - 89930
142 - 106153
233 - 89461
338 - 105210
506 - 99673
452 - 47
492 - 87097
509 - 111622
848 - 113269
470 - 95864
383 - 81633
345 - 78891
93 - 91546
454 - 89391
182 - 87877
420 - 107756
491 - 98073
78 - 91168
394 - 95623
329 - 109480
530 - 87026
555 - 115078
159 - 87690
213 - 94320
279 - 103834
410 - 110207
205 - 101062
173 - 84980
480 - 98345
302 - 87031
371 - 95283
391 - 105192
460 - 95940
356 - 94842
457 - 90402
230 - 124775
412 - 88263
167 - 83585
414 - 107205
434 - 88440
318 - 107217
325 - 84841
193 - 97091
200 - 88956
644 - 93875
297 - 85058
220 - 81833
310 - 81897
223 - 104077
615 - 94704
368 - 92705
210 - 98792
634 - 101893
417 - 96876
749 - 107419
348 - 115552
498 - 95446
307 - 92184
313 - 100941
306 - 81025
196 - 86567
315 - 88017
403 - 82318
441 - 95811
436 - 92946
246 - 99885
850 - 108945
236 - 87145
340 - 95718
531 - 94647
179 - 107452
608 - 103800
586 - 147
382 - 89243
252 - 90436
369 - 116376
312 - 100282
234 - 80006
629 - 89542
363 - 86945
171 - 104855
458 - 96024
173 - 89039
255 - 125517
233 - 101746
422 - 88769
414 - 82720
387 - 92231
264 - 104016
743 - 97851
246 - 38
332 - 82164
245 - 94552
556 - 88732
252 - 99755
586 - 112868
190 - 103342
162 - 90034
404 - 84084
357 - 94251
453 - 113846
1052 - 91861
503 - 104976
297 - 84179
359 - 95628
130 - 97034
280 - 107194
337 - 83495
237 - 91051
892 - 114903
228 - 95283
280 - 105637
299 - 87526
417 - 101779
548 - 104037
253 - 88452
264 - 86824
203 - 109381
267 - 98024
163 - 99391
289 - 110898
410 - 86430
171 - 94659
336 - 96608
219 - 98938
420 - 99299
228 - 89350
261 - 104172
291 - 95673
578 - 111805
575 - 105431
206 - 93335
476 - 100767
326 - 102163
342 - 112586
293 - 85280
258 - 79588
382 - 115494
253 - 86788
